	J_2	J_3	J_4	J_6
0	Hydrogenophaga|0107fc0b59d6962f7ad0eb938145ddf7	Pseudomonas|1422b36fc3008e0a41f108d963ac41c9	Azospirillum|45a0d14a19dc3d274c3095544ea560ce	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|7db384db1541d18e44802bf4fdd2fbc8
1	Acidovorax_delafieldii|2a788af2af3bdabacd69ef5e72eb5bf9	Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7	Rheinheimera|60163b83acafd8e916fd116cade276b1	Pseudomonas|108751f28645926db7b461f27b822162
2	Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7	Cellvibrio|55a187da9c83e389e07303b7f2838986	Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7	Pseudomonas|f2a5607c5500f55be48580ed0d039e06
3	Caulobacter|1bba83fcbb4abd74aeb3633c517a2dcb	Acidovorax_delafieldii|2a788af2af3bdabacd69ef5e72eb5bf9	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cbf8930fe19434d51a170a71f31039be	Pseudomonas|b8578b6d12f67f31774b7c134d9e0f72
4	Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a	Rheinheimera|60163b83acafd8e916fd116cade276b1	Rheinheimera|6db471c35a6b677cab2944bd6a2664e9	Acinetobacter|3e0366ab7586080a624680721b84890d
5	Sphingobium|a3378306aac4ba125d41130ee38e1346	Hydrogenophaga|0107fc0b59d6962f7ad0eb938145ddf7	Pseudomonas|cbdeb0c5683b2b7e95b3cc46f3199be3	Pseudoxanthomonas_mexicana|0bb379edb1724134dc46abcaefcffbfd
6	Rheinheimera|60163b83acafd8e916fd116cade276b1	Flavobacterium|bf571cf04559c8cdddfdb4e1aad49bc2	Gemmobacter_unc_b|69ca2e971da19b1de9256d9070ff109e	Pseudomonas|9be343a5fd7e846fc2168a009d27ea94
7	Phenylobacterium|2844083decc0cc24a6229d88c4544c94	Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb	Pseudarthrobacter|17ad29e6a76f8c5b0122d790819412d4	Pseudomonas|3696ffd62595f83285a8bfc01ad79778
8	Hydrogenophaga|8b7c290ee394c9fa10e4c6413906b29d	Pseudomonas|3c7baf6883b1e123f731381ea331639f	Sphingobium|a3378306aac4ba125d41130ee38e1346	Sphingobium|6f61f10851c21790134347c18c6f9fb6
9	Hydrogenophaga|48ae75adeac6435dfc4b4f875d67a50d	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|4afb1dd8fd233dcf466d045c65bf73dd	Pseudomonas|9be343a5fd7e846fc2168a009d27ea94	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cb98455b16aa85c824cd3f9d4290e2d2
10	Sphingobium|6f61f10851c21790134347c18c6f9fb6	Rheinheimera|6db471c35a6b677cab2944bd6a2664e9	Pseudomonas|b8578b6d12f67f31774b7c134d9e0f72	Shinella|d11c10c89250f54b2fcb25b5d01c6f05
11	Pedobacter_glucosidilyticus|c2690d110f736b1e57ac9b6e6c45c758	Pseudomonas|cbdeb0c5683b2b7e95b3cc46f3199be3	Shinella|a67698909915c454b83d891125242c4b	Sphingobium|a3378306aac4ba125d41130ee38e1346
12	Pseudomonas|61f58776431599f1f2d0d82c5016af86	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9	Cellvibrio|55a187da9c83e389e07303b7f2838986	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cbf8930fe19434d51a170a71f31039be
13	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|4afb1dd8fd233dcf466d045c65bf73dd	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e	Pseudomonas|f2a5607c5500f55be48580ed0d039e06	Bacillus|41eed863dc8763874ef45292941d8277
14	Ramlibacter|677e5043be285a2ede58f6c08adb4735	Acidovorax|5e97870415986be8b5a1beccbdf3f369	Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a	Bacillus|3bb45f21cfcc773119215e05b3e40d0c
