	R_2	R_3	R_4	R_6
0	Sphingobium|a3378306aac4ba125d41130ee38e1346	Sphingobium|a3378306aac4ba125d41130ee38e1346	Sphingobium|a3378306aac4ba125d41130ee38e1346	Sphingobium|6f61f10851c21790134347c18c6f9fb6
1	Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2	Sphingobium|6f61f10851c21790134347c18c6f9fb6	Sphingobium|6f61f10851c21790134347c18c6f9fb6	Symbiodinium_sp_A1|15c005c1c506b2e1a53877887a2bef54
2	Devosia|60335b6aab52d95cb75a6618b704ddf1	Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2	Symbiodinium_sp_A1|15c005c1c506b2e1a53877887a2bef54	Sphingobium|a3378306aac4ba125d41130ee38e1346
3	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9	Devosia|60335b6aab52d95cb75a6618b704ddf1	Devosia|60335b6aab52d95cb75a6618b704ddf1	Pseudoxanthomonas_mexicana|0bb379edb1724134dc46abcaefcffbfd
4	Sphingobium|6f61f10851c21790134347c18c6f9fb6	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a	Microbacterium|43a086e5d89b75b869c57f2fe87f59be
5	Streptomyces|6ed881b86eee1bcc88c8436f378cc691	Novosphingobium|6d1755b27b10f40edec2927ab4dcc8b2	Ensifer_meliloti|dda400cba713e16f0324d82bca281d50	Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d
6	Ensifer_meliloti|dda400cba713e16f0324d82bca281d50	Ensifer_meliloti|dda400cba713e16f0324d82bca281d50	Sphingomonas|74906b903a2159782726129669905350	D05-2_unc_b|5a73d199450cb33ef9d6046c996c78de
7	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a	Microbacterium|43a086e5d89b75b869c57f2fe87f59be	Bradyrhizobium|c43c6878b536ee2f203b47a29d3c745a	Streptomyces|6ed881b86eee1bcc88c8436f378cc691
8	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e	Microbacterium|44b455328f8b68f74b8d28838683f864	Ensifer_meliloti|dda400cba713e16f0324d82bca281d50
9	Devosia|674e0277eaf979d68dfc9bb4598d7eae	Rhizobiaceae|d1cdc577bbdbe6501bdfe22763e73656	Microbacterium|43a086e5d89b75b869c57f2fe87f59be	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a
10	Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d	Rhodocyclaceae_unc|542ab4550e60f82ef904b556edba50b6	Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d	Devosia|60335b6aab52d95cb75a6618b704ddf1
11	Rhizobiaceae|d1cdc577bbdbe6501bdfe22763e73656	SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb	SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb	Nonomuraea|4be23db3fbfe901453b110d66ffbc41b
12	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|a7ff3454cc6e99d78a0c2c74ccef8c45	Devosia|4bbfa312497c237d44f4cfed8fae2e07	Sphingomonadaceae|7e03719712310e10f1d498730c543590	SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb
13	Microbacterium|44b455328f8b68f74b8d28838683f864	Sphingomonas|74906b903a2159782726129669905350	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9	Rhodopirellula_unc|9e5542acbb1c695dd2706f4af589f544
14	Microbacterium|43a086e5d89b75b869c57f2fe87f59be	Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a	Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb	Steroidobacter|81e1dd034dafec59fdc0ead1910ac6fe
15	Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb	Bacillus|98fd5b7f45ff80423a276dd6851a7a75	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e	Flavobacterium|d34cdc0fc550fa0bb0b6bab13fd53d82
16	Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370	Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb	Rhodopirellula_unc|9e5542acbb1c695dd2706f4af589f544	Candidatus_Chloroploca_unc_b|a0e87a294838dc2bb0c0dc96dee05511
17	Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7	D05-2_unc_b|5a73d199450cb33ef9d6046c996c78de	Candidatus_Chloroploca|26e658b59a26db4b1c422c14be3bc3b7
18	Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296	Bacillus|4048703214e81d8926d019b544e5fd45	Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296	D05-2_unc_b|52f2f356b67f2388990f61e80c06da88
19	Microvirga|5e392f3a9e82a31546db60a2c854c787	Bacillus|c2b81fd480d98dc790e88254603f193e	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cbf8930fe19434d51a170a71f31039be	Rhizobiaceae|2df7a1c09b90b7ff40dc5c9ab4577b38
20	Ensifer|f5c016c639225b7c7877ecb317a56aab	Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818	Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2	Streptomyces|f03c4b8a7bf82aa40b91dccfef025987
21	Bosea|f28f8fcec22da6f352e557172e5416b8	Bacillus|a205e9a5ca3f4133d4f01e8a4fd5bd2b	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7	Nocardioides|54c9c8c84d439c48c6ba94cbee2e05be
22	Chthonobacter|3f0a2c3bddfabc7d266167a586b60d08	Streptomyces|f03c4b8a7bf82aa40b91dccfef025987	Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370	Sphingomonas|cee7da22b3e7f5a0572f607609c7c648
23	Novosphingobium|6d1755b27b10f40edec2927ab4dcc8b2	D05-2_unc_b|52f2f356b67f2388990f61e80c06da88	Saccharimonadales|3c6fa473b90e96415d1b7abd9cc5871f	WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3
24	Rhizobiaceae|52d5343817ac8543329b9d69bdb37dc4	WD2101_soil_group|f81015e33de8d41d59d87670eda99cd5	Ensifer|f5c016c639225b7c7877ecb317a56aab	Dongia|206abb8c709bd46d9b1760581ea945f3
25	Flavisolibacter_unc_b|fe2d975fab345de2fbef917b9cc91539	Devosia|80244e173fac90d77f16f831b9f89095	Bosea|f28f8fcec22da6f352e557172e5416b8	Methylophilaceae|d396915931077077a84796531f6644c3
