	S_2	S_3	S_4	S_6
0	Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab	Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab	Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab	Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab
1	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7	Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7
2	WD2101_soil_group|f81015e33de8d41d59d87670eda99cd5	WD2101_soil_group|f81015e33de8d41d59d87670eda99cd5	Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7	Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb
3	Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370	Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370	WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3	WD2101_soil_group|c8e286a4876244255e68781ddb5bb3bb
4	WD2101_soil_group|ce84b4909ebbf8154f7eaa34d167f09e	WD2101_soil_group|ce84b4909ebbf8154f7eaa34d167f09e	WD2101_soil_group_unc|32c1b6fad9715e2a1ebbfa77db40bb90	Pirellulaceae_unc|2aa77ca7d83f925055f020491c3ae612
5	WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996	WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3	Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370	WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3
6	WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3	Sphingobium|a3378306aac4ba125d41130ee38e1346	SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb	Blastocatellaceae_unc|849f1cd923381b21c54a2622c44dc247
7	Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0	Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb	WD2101_soil_group|ce84b4909ebbf8154f7eaa34d167f09e	Actinomarinales_unc|ef69a596c0d279d8bdd457db4fe1afea
8	Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80	WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996	WD2101_soil_group|f81015e33de8d41d59d87670eda99cd5	Bacillus_niabensis|09ff0fac7e9e2d88e30d7b72e505609f
9	Microvirga_unc|2eff6ed74640be08e55c3ea6cba3abd7	WD2101_soil_group_unc_b|1ad783c64224c6e09831643e1418f791	Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818	Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3
10	WD2101_soil_group|c8e286a4876244255e68781ddb5bb3bb	Microvirga|5e392f3a9e82a31546db60a2c854c787	WD2101_soil_group|c8e286a4876244255e68781ddb5bb3bb	Planctomycetales_unc|f6d2338d33afa36e3fa778dc0b405f2d
11	Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818	WD2101_soil_group|c8e286a4876244255e68781ddb5bb3bb	Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0	Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80
12	Microscillaceae_unc|def5911a0e059401a8050a572714f463	Lysinibacillus|ebf9aff6ca6a9de7991f40ac6bb4544d	Microvirga|5e392f3a9e82a31546db60a2c854c787	Bacillus|6c1d0b2d87f960888e9c941f0c2729d0
13	Gitt-GS-136_unc_b|bd2a0a2f17375475be26d12fdae3fb58	Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80	Lysinibacillus|ebf9aff6ca6a9de7991f40ac6bb4544d	Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0
14	Novibacillus|c7f946841f839ebcd1611fc97b12235a	Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0	RB41_unc|0264b6b8b228b5b410b49f98cda946b6	WD2101_soil_group_unc_b|1ad783c64224c6e09831643e1418f791
15	WD2101_soil_group_unc_b|28358f65c8e72e2cdda9f72474e7c17c	Bacillus|6c1d0b2d87f960888e9c941f0c2729d0	Microvirga_unc|2eff6ed74640be08e55c3ea6cba3abd7	Bacillus_niabensis|ede38a78b4f1ef757ddd79e5b4ad9c81
16	Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296	Gemmatimonadaceae_unc|9711022edecd95bced9db70b23a70ec3	WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996	Fimbriiglobus_unc_b|d58802fb861120c1c90c50b559cf1c39
17	Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d	Streptomyces|273c74cb7bc09081d56968162e226072	Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3	Roseiflexaceae|b3f40a2d47a9fcde75e7af0b3c77bf83
18		Gitt-GS-136_unc_b|bd2a0a2f17375475be26d12fdae3fb58	Caldilineaceae_unc|297fc9c7148e0a3a72bb95633987bf32	Litorilinea_unc_b|2c17488bd2453f204e1be5a8edb9a941
19		Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3	AKYG1722_unc|011758093a7bd3018672cd3e3966d063	Bacillus|98fd5b7f45ff80423a276dd6851a7a75
20		Gemmatimonadaceae_unc|0cc7626bf6a75cf9b9f3d77e9f805c47	WD2101_soil_group|69ccb6fd7b374302acfc1107aee6c916	Ensifer_meliloti|dda400cba713e16f0324d82bca281d50
21		Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818	Thermomicrobiales|dfe54e9d98211dd480d02862d4829e93	SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb
22		Caldilineaceae_unc|297fc9c7148e0a3a72bb95633987bf32	Ensifer_meliloti|dda400cba713e16f0324d82bca281d50	Caldilineaceae_unc|297fc9c7148e0a3a72bb95633987bf32
