	Gall, unique	Root, unique	J2, unique	Gall and J2, shared	Root and J2, shared	Gall and Root and J2, shared	Gall and Root, shared
0	A/N/P-Rhizobium|33b9d83d162e259ea83d703849c6e52e	A/N/P-Rhizobium|29e17d255033ffe7cf3809696cf5806a	Hydrogenophaga	Bacillus	Flavobacterium	Methylophilus_unc	A/N/P-Rhizobium
1	Devosia	A/N/P-Rhizobium|cbf8930fe19434d51a170a71f31039be	Hydrogenophaga|8cf033901dc8dd639c49a3f3ae9a18fb	Acidovorax delafieldii	Flavobacterium|d34cdc0fc550fa0bb0b6bab13fd53d82	Cellvibrio_unc_b	A/N/P-Rhizobium|2462a3af6abc07f465314d7d189ea6a9
2	Devosia|60335b6aab52d95cb75a6618b704ddf1	Thermomonas_unc_b	Hydrogenophaga|3c6c8362ff4d0c568b9f5f39b8cd1acf	Cellvibrio	Pseudomonas	Pseudoxanthomonas mexicana	A/N/P-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a
3	Devosia|674e0277eaf979d68dfc9bb4598d7eae	Flavobacterium|3676d0b134f3d1f7a9d6b6b7b32831e8	Flavobacterium|bf571cf04559c8cdddfdb4e1aad49bc2	Cellvibrio|55a187da9c83e389e07303b7f2838986	Pseudomonas|108751f28645926db7b461f27b822162	Pseudoxanthomonas_mexicana|9a399a205190a5b1d33007d0820ea83a	A/N/P-Rhizobium|7db384db1541d18e44802bf4fdd2fbc8
4	Herpetosiphon_unc_b	Microbacteriaceae	Algoriphagus			Pseudoxanthomonas_mexicana|0bb379edb1724134dc46abcaefcffbfd	Sphingobium
5	Herpetosiphon_unc_b|4e0fa96e78a89ab1b0f52a7fd227e64b	Microbacteriaceae|4469856c323a9c098f4aaf7f9ce0c02d	Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a				Sphingobium|a3378306aac4ba125d41130ee38e1346
6	Herpetosiphon_unc_b|056407209af6ca188c3b48521de3df41	Microbacteriaceae|df53aa6b71b33a336c001cf42d387956	Algoriphagus|e1aad965c8ea2a74e33582e0fa94825f				Sphingobium|6f61f10851c21790134347c18c6f9fb6
7	Sphingomonas	Acidovorax	Caulobacter				Rhodocyclaceae_unc
8	Sphingomonas|74906b903a2159782726129669905350	Acidovorax|7aa6047ae866315609afcbec4ba3c78d	Caulobacter|1bba83fcbb4abd74aeb3633c517a2dcb				Reyranellaceae_unc
9	Sphingomonas|476d0b751771f43b851ecd74d1986950	Acidovorax|5e97870415986be8b5a1beccbdf3f369	Caulobacter|199ab6289f4c1dcdff24881dd99475ca				Saccharimonadales
10	Massilia	Massilia_unc	Limnobacter_unc				Saccharimonadales|51f1cf0488c1b91d233f6d78902aec08
11	Massilia|1c16d251e8a053a92738a30464af80ae	Rhodanobacter	Limnobacter				Ferrovibrio_unc_b
12	Massilia|07d03c75b5a82eac6a065e21125a0a1d	Xanthobacteraceae	Alphaproteobacteria				Ferrovibrio_unc_b|fa03ee7e41290f6e1f65c9c5d3cc57cb
13	Brevundimonas	Xanthobacteraceae|42422db48756ad7f3f76fcd600908b23	Alphaproteobacteria|a131d716c19120f044c9e9cefbc8e15a				Ferrovibrio_unc_b|c5556cd6f0d4e4411a65901db41388f6
14	Brevundimonas|436d7f94990a0d43be97c035ccd2a0b8	Xanthobacteraceae|1a92b8af7e955ca031a6a58f52e8917c	Alphaproteobacteria|ced51c73928b9906a16f52ea52a1bd7e				D05-2_unc_b
15	Brevundimonas|3c500448ec4d334a7047865290578216	Rhizobiaceae	Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7				D05-2_unc_b|5a73d199450cb33ef9d6046c996c78de
16	Flavisolibacter_unc_b	Rhizobiaceae|d1cdc577bbdbe6501bdfe22763e73656	Cellvibrio|60d18a2307adce2afc9584cad22dc062				D05-2_unc_b|52f2f356b67f2388990f61e80c06da88
17	Flavisolibacter_unc_b|fe2d975fab345de2fbef917b9cc91539	Rhizobiaceae|52d5343817ac8543329b9d69bdb37dc4	Acinetobacter				Steroidobacter
18	Flavisolibacter_unc_b|41024a091d4fa6bbf95960b9095853b1	Rhizobiaceae|2df7a1c09b90b7ff40dc5c9ab4577b38	Acinetobacter|3e0366ab7586080a624680721b84890d				Steroidobacter|81e1dd034dafec59fdc0ead1910ac6fe
19	Flavisolibacter	Rhizobiaceae|ee5c7151d3880f32b73150755a70d28e	Acinetobacter|832b87c5e962f8bec8cba9b9e71aa34b				Dongia
20	Flavisolibacter|520f26bee0bc1c4a0783510d4cf9dbd7	Fluviicola	Bacillus|3bb45f21cfcc773119215e05b3e40d0c				Dongia|206abb8c709bd46d9b1760581ea945f3
21	Flavisolibacter|c3bac5a3a69805723eb3043b50803b2b	Fluviicola|459a36763180e98c4cdf1f1f2fe5a84c	Bacillus|41eed863dc8763874ef45292941d8277				Pir4 lineage_unc_b
22	IMCC26134_unc_b	Fluviicola|840afa099198a9e26be408618cc55ce8	Chryseobacterium				
23	Bacillus|98fd5b7f45ff80423a276dd6851a7a75	Geminicoccaceae_unc	Shinella				
24	Bacillus|a205e9a5ca3f4133d4f01e8a4fd5bd2b	Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d	Shinella|a67698909915c454b83d891125242c4b				
