Feature	2J	3J	4J	6J	RA	RAn
Hydrogenophaga	0.09179140287098422	0.04174114880855221	0.005484659983218884	0.0022756906728092718	0.03532322558389115	1.0
8cf03390	0.0005315142144766225	0.00021498833367443243	0.00068888771130306	0.0013037808536980246	0.03532322558389115	0.0072603796850644175
3c6c8362	0.0004233793513829712	0.00017775676259064043	0.00031185031185031203	0.0008128749786475533	0.03532322558389115	0.0
Acidovorax delafieldii	0.06879233920246106	0.03857102372215152	0.0006256754450827599	0.0003596247320260665	0.027087165775430348	1.0
2a788af2	0.06606732977475775	0.03684155145228659	0.0005829049864872049	0.0003419022458983192	0.027087165775430348	0.0
Flavobacterium	0.059679870828561035	0.05494500803616986	0.00565287011023856	0.02291240804105293	0.0357975392540056	1.0
bf571cf0	0.046681429361837404	0.033320328771333486	0.0017222908882068423	0.0	0.0357975392540056	0.5246852163280067
d34cdc0f	0.0010167443169931739	0.0018484972438292681	0.0015367495098299	0.009471531777598463	0.0357975392540056	0.0
Cellvibrio_unc_b	0.03526900657829716	0.012140783460289161	0.000874357479730805	0.0	0.012071036879579281	1.0
c50cd3a6	0.0026972215181006527	0.009422025951923976	0.000874357479730805	0.0	0.012071036879579281	0.0
Algoriphagus	0.03458558047975204	0.0034071725164303945	0.011754420619875569	0.00014002648848367025	0.012471800026135418	1.0
a2bcd78b	0.02947143465732504	0.0031489327669025407	0.01014319400864892	6.32127234569775e-05	0.012471800026135418	0.8437568480800376
e1aad965	0.003006565944570676	8.070096258314814e-05	0.00161122661122661	0.0	0.012471800026135418	0.0
Caulobacter	0.0317183673056671	0.0010092303706317068	0.00406689039303794	0.0011880207612589375	0.00949562720764892	1.0
1bba83fc	0.030029877055337554	0.000938386129385465	0.003788882412166815	0.0009418695795089625	0.00949562720764892	0.939008411180088
199ab628	0.0003653238546603475	0.0	0.0	0.00017770031290594175	0.00949562720764892	0.0
Limnobacter_unc	0.0070186048267633794	0.005637842817497869	0.0033633514236915047	0.0	0.004004949766988189	1.0
163af248	0.006837492149318996	0.00537685857105769	0.00314797612105651	0.0	0.004004949766988189	0.0
Limnobacter	0.004101773707491509	0.0013327698011462487	0.0	0.0	0.0013586358771594394	
Alphaproteobacteria	0.00408821771692006	9.404538161055442e-05	0.0	0.0	0.0010455657746326536	1.0
a131d716	0.003975057575434225	8.942913980984815e-05	0.0	0.0	0.0010455657746326536	0.971479494148578
ced51c73	5.27296358319082e-05	0.0	0.0	0.0	0.0010455657746326536	0.0
Pseudomonas	0.1451179235347209	0.37646313967615785	0.14958579979114117	0.3570043546733282	0.25704280441883703	1.0
870f0dc4	0.059070868422822956	0.20573366631019746	0.060678588548070955	0.000170674353333839	0.25704280441883703	0.1917714100255412
108751f2	0.0008501812743576985	0.01301880634371198	0.00774929268649794	0.13734659060801194	0.25704280441883703	0.0
Cellvibrio	0.006344405496533762	0.046708609079770994	0.012804156373654544	0.0018397546329017875	0.01692423139571527	1.0
55a187da	0.003938727579255344	0.037111804775503646	0.012804156373654544	0.0018397546329017875	0.01692423139571527	0.8008074341243598
60d18a23	0.001985658237278211	0.005455593802830485	0.0	0.0	0.01692423139571527	0.0
Methylophilus_unc	0.002027498171758806	0.0022671195002332257	0.0040181967491066135	0.0	0.0020782036052746614	
bc6d9203	0.002027498171758806	0.0022671195002332257	0.0040181967491066135	0.0	0.0020782036052746614	
Pseudoxanthomonas mexicana	0.0069467238083324645	0.002204907726263344	0.0003709395368554925	0.10406821598137331	0.02839769676320615	1.0
0bb379ed	0.004794271315211868	0.0011215671961673516	0.0003709395368554925	0.10156981531701037	0.02839769676320615	0.9475134041884004
9a399a20	0.0017294218122638496	0.0003079473948014614	0.0	0.002302787300726747	0.02839769676320615	0.0
Acinetobacter	1.4333218667583999e-05	0.0001919950849258257	0.0	0.06481146159880218	0.016254447475598895	1.0
3e0366ab	0.0	0.0	0.0	0.05697797077781237	0.016254447475598895	0.8664209435549322
832b87c5	1.3915482922919376e-05	0.00018407844196006713	0.0	0.004632073900815287	0.016254447475598895	0.0
Bacillus	0.0010836169593121297	0.0031885898646882645	0.0009273488421387301	0.02727171440867772	0.008117817518704211	1.0
3bb45f21	0.0	0.0010100634266400883	0.0	0.010009527651925955	0.008117817518704211	0.0
41eed863	9.176898687038499e-05	0.00137829727850608	0.0009273488421387301	0.009020264898932318	0.008117817518704211	0.01855747179281607
Chryseobacterium	2.9885129780288376e-05	0.0	0.0	0.026211124080251676	0.006560252302507991	
Shinella	0.0002989748640707947	0.004354980056709812	0.01535551420295208	0.016923542627947544	0.009233252937920058	1.0
a6769890	0.0	0.0018625512582838553	0.008223967497455935	0.0006926756942198835	0.009233252937920058	0.0
d11c10c8	9.873617693522912e-05	0.0011770759275660599	0.005498977575179155	0.014703427237816112	0.009233252937920058	0.40908072210296564
Klebsiella	0.0	1.5442160529837713e-05	0.0	0.012054821052235744	0.003017565803191395	
Enterobacter	0.0	6.846634107658899e-05	0.0	0.007662804274043238	0.001932817653779957	
Ensifer	9.462528387585163e-05	0.0006147657949283723	0.0	0.00569184204018606	0.001600308279747571	1.0
f5c016c6	9.462528387585163e-05	0.00024252457593605068	0.0	0.000169434927455378	0.001600308279747571	0.0
Stenotrophomonas	0.0	0.0	0.0	0.00496591779171265	0.0012414794479281624	
Achromobacter	0.0	3.645761599598157e-05	0.0	0.002771981237251016	0.0007021097133117493	1.0
f321bf8f	0.0	3.2599246595189856e-05	0.0	0.002558630873719035	0.0007021097133117493	0.0
Bradyrhizobium	0.0	0.0	0.0	0.0005812454349588497	0.00014531135873971243	
