Feature	1R	2R	3R	4R	5R	6R	RA	RAn
A/N/P-Rhizobium	0.07229862058306477	0.06730721549795388	0.0419397198842219	0.03831761232759446	0.020233103567169713	0.031401367512546484	0.045249606562091864	1.0
A/N/P-Rhizobium|29e17d255033ffe7cf3809696cf5806a	0.027199290154306055	0.00024316335767601645	0.0027223056606297275	5.184839529216567e-05	0.0001728328126646206	0.00011350789061926236	0.045249606562091864	0.06932177247560893
A/N/P-Rhizobium|cbf8930fe19434d51a170a71f31039be	0.020842209374318178	0.0037623683550718906	0.0029598250293130747	0.005420583010504094	0.0014035764000240195	0.0012863687312914005	0.045249606562091864	0.08929504078396222
A/N/P-Rhizobium|2462a3af6abc07f465314d7d189ea6a9	0.0007237228343245718	0.022425765529730732	0.007650448049413113	0.006027847470824864	0.0036421521161492656	0.0016149667038471687	0.045249606562091864	0.11404920100860422
A/N/P-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a	0.005464135996237504	0.016284418697520318	0.016550280905354747	0.012687821848002597	0.005598925995187307	0.005338352641217899	0.045249606562091864	0.19066398591029193
A/N/P-Rhizobium|7db384db1541d18e44802bf4fdd2fbc8	0.00011056445249213472	0.0007088428141059722	0.00010047038407087733	0.0	0.001037259992663505	0.010595268055481142	0.045249606562091864	0.0
Thermomonas_unc_b	0.04292013697441677	4.395870080059789e-05	0.00011702065414545666	0.0	0.0	0.0	0.007180186054893803	1.0
Flavobacterium	0.0402495472708254	0.010759902071784096	0.02581707304421812	0.006671386383706657	0.011937826155185205	0.007798849001307418	0.017205763987837817	1.0
Flavobacterium|3676d0b134f3d1f7a9d6b6b7b32831e8	0.011664406075949554	0.0010366306174436632	0.000857440128359311	0.0	0.0	0.0	0.017205763987837817	0.0
Flavobacterium|d34cdc0fc550fa0bb0b6bab13fd53d82	2.1293358601452214e-05	0.0017940158249679728	0.0026952006394329354	0.0010171869947572534	0.006818846661350094	0.004391511112743397	0.017205763987837817	0.03545624216680083
Microbacteriaceae	0.02034421338809528	0.002043765793798277	0.004515789041444024	0.001984217499333334	0.009027356506204301	0.006524379986674457	0.0074066203692582785	1.0
Microbacteriaceae|4469856c323a9c098f4aaf7f9ce0c02d	0.006510405944816131	9.129036242273878e-05	0.0	0.0	3.620048734906094e-05	0.0	0.0074066203692582785	0.0
Microbacteriaceae|df53aa6b71b33a336c001cf42d387956	0.0005520977225531085	0.00037666542471955227	0.0014673252451509846	0.001487161206385484	0.008658110932622348	0.0061711563529241766	0.0074066203692582785	0.3194189686689613
Acidovorax	0.01807584462107292	0.004224087341461962	0.00313378672922039	0.00792382169181638	0.0007359500173486485	1.1459741926611811e-05	0.005684158357141152	1.0
Acidovorax|7aa6047ae866315609afcbec4ba3c78d	0.00790327219878652	0.0024104402948095416	0.00021311899651398221	0.00036430032945259885	8.009236577048983e-05	0.0	0.005684158357141152	0.0
Acidovorax|5e97870415986be8b5a1beccbdf3f369	0.00491392524466343	0.0016078580297872473	0.002638192199062878	0.007110537216115718	0.0006353164882930546	1.0844340338777188e-05	0.005684158357141152	0.2570035343138017
Massilia_unc	0.014419660590711356	0.0	0.00010268371216288568	0.0	0.0	0.0	0.0024203907171457067	1.0
Rhodanobacter	0.013297273970568398	0.00013553285115179854	6.9585338683652e-05	0.0	0.0	0.0	0.002250398693400642	1.0
Xanthobacteraceae	0.009110737805248108	0.0005844191097260842	0.0010494384969437298	0.0032119618619711123	0.001059019002462258	0.0016099661496444785	0.0027709237376659615	1.0
Xanthobacteraceae|42422db48756ad7f3f76fcd600908b23	0.00565886657092362	0.0	0.00037720725180941556	0.0	6.43709236537853e-05	0.0	0.0027709237376659615	0.19530405086615524
